Year,Combined,Colorectum,Leukemia,Liver and intrahepatic bile duct,Lung and bronchus,Pancreas,Prostate,Stomach
1930,164.5,23,3,14.1,4.3,4.5,17.8,46.3
1931,165.5,23.7,3.2,13.4,4.7,4.7,18.4,45.7
1932,168.9,25.2,3.2,13,5.4,4.9,19.8,45.1
1933,169.8,25.7,3.4,13,5.7,5.1,20.7,44.2
1934,175,27.1,3.6,12.8,6.4,5.4,22.7,44
1935,175.6,27.5,3.8,12.2,7.5,5.6,22.7,43.7
1936,179.9,28.2,3.9,12,8,6,23.8,43.4
1937,181.2,29.9,4.1,11.5,9,6.2,24.2,42.5
1938,184.7,31.2,4.5,11.3,9.9,6.7,25.7,41.9
1939,187.3,32.1,4.8,11.1,10.5,7,26.8,40.3
1940,193.3,32.8,5.4,10.5,11.6,6.8,27.4,40.1
1941,192.6,32.5,5.3,10.5,12.3,7.2,28.7,38.5
1942,191.5,32.7,5.6,10.6,13.1,7.3,27.1,38.1
1943,191.8,33.6,5.7,11,14,7.1,27.3,36.9
1944,193.1,33.7,5.9,11.2,14.8,7.3,27.9,36.2
1945,197.9,34.9,6.1,11.2,16,7.8,29.3,35.5
1946,201,34.8,6.5,10.2,18.1,8,30.3,35.1
1947,207.1,35.5,7.2,9.6,20.5,9,30.7,35
1948,212.7,35.8,7.5,9.8,22.6,9.4,31.9,34.6
1949,208.1,34.2,7.6,8.9,22.3,9.8,29.3,32.3
1950,208.1,33.1,8.2,8.6,24.3,9.9,28.9,31.1
1951,208.8,32.3,8.7,8.3,25.8,10.3,28.6,29.7
1952,213.1,32.8,8.8,8.1,28,10.4,29.7,28.7
1953,215.8,33,9.1,8,30.4,10.7,29.8,28.1
1954,217.7,32.6,9.4,7.7,31.7,11.2,30.5,27.3
1955,218.9,33.1,9.6,7.5,33.9,11.5,30.2,25.8
1956,223.4,33.3,9.8,7.4,36.4,12.2,31,25.2
1957,223.9,33,9.9,7.4,37.9,12,30.6,23.9
1958,220.5,32.6,10.4,7.1,39.2,12.1,29.6,22.6
1959,223.3,32.6,10.2,6.8,41.3,12.6,28.9,22.6
1960,226.7,32.9,10.5,7.2,43.5,12.6,29.3,21.8
1961,228.5,32.9,10.9,6.9,45.5,13.1,29.8,20.9
1962,229.8,32.9,10.6,6.6,47.9,13.2,29.7,19.5
1963,233.4,32.5,11,6.8,49.9,13.5,29.9,19.4
1964,233.4,32.7,10.8,6.8,51.7,13.2,29.4,18.4
1965,238,33.5,10.9,6.9,54.1,13.7,29.8,17.5
1966,240.4,33.2,11.2,6.8,56.7,13.8,29.5,16.7
1967,243.4,32.7,11.3,6.8,59.3,14,29.8,16.1
1968,246.2,33.1,11.2,6.8,63.5,14.2,30.1,15.7
1969,247.6,33.7,11.3,6.6,65.6,14.1,29.7,15
1970,249.3,33.3,11,6.4,68.1,14,30,14.5
1971,251.7,33.2,11,6.5,70.4,13.7,30.1,13.8
1972,255.4,33.5,10.9,6.4,72.7,13.4,30.4,13.4
1973,255,32.8,10.9,6.1,73.7,14,31,13
1974,257.9,33.8,10.8,6.1,75.8,13.4,30.9,12.7
1975,258.4,33.2,10.9,5.9,77.2,13.8,30.8,12.2
1976,262.2,33.8,10.8,5.9,79.3,13.6,31.6,12
1977,264.2,33.7,10.8,6,81.2,13.8,31.7,11.5
1978,267.1,34.2,10.8,6,82.8,13.6,32.6,11
1979,268.7,34,11,5.9,83.5,13.4,32.7,11
1980,271.1,34.2,11.2,5.8,85.3,13.2,33.3,10.6
1981,269.8,33.4,10.9,6.1,85.7,13.2,33.2,10.6
1982,272.9,33.5,11,6.1,87.4,13.1,33.4,10.3
1983,274.1,33.6,10.9,6.2,87.7,12.8,33.9,9.9
1984,275.1,33.5,10.7,6.2,88.8,13,34.1,9.9
1985,275.7,33.2,10.7,6.2,89.1,12.9,33.9,9.5
1986,276,32.6,10.7,6.3,89.5,12.5,34.9,9.4
1987,276.3,32.4,10.3,6.3,90.6,12.5,35.1,9.1
1988,276.9,31.6,10.6,6.5,90.4,12.5,35.9,8.8
1989,278.5,31.3,10.6,6.7,90.4,12.6,37.1,9.2
1990,279.8,31.3,10.7,6.8,91.1,12.6,38.6,8.9
1991,279.1,30.2,10.5,6.9,90.4,12.6,39.3,8.9
1992,276.5,29.8,10.7,7.2,88.6,12.6,39.2,8.1
1993,275.9,29.1,10.7,7.2,88.1,12.4,39.3,8.2
1994,272.1,28.8,10.6,7.4,86.1,12.4,38.5,7.9
1995,268.5,28.2,10.8,7.7,84.8,12.1,37.3,7.7
1996,263.7,27.2,10.5,7.8,83.3,12.1,36,7.4
1997,258.1,26.8,10.4,7.8,81.8,12.2,34.2,7.2
1998,253.6,26.1,10.1,8,80.3,12.3,32.6,6.8
1999,252.8,26,10.2,7.7,77.3,12.3,31.6,6.6
2000,248.5,25.5,10.3,8,76.8,12.1,30.4,6.4
2001,245,24.8,10.2,8.1,75.7,12.2,29.5,6.1
2002,241.6,24.4,10.2,8.3,74,12.2,28.7,6
2003,235.8,23.6,10,8.5,72.3,12.1,27.2,5.7
2004,230.3,22.3,9.8,8.5,70.7,12.4,26.2,5.6
2005,228.1,21.7,9.8,8.8,69.7,12.4,25.4,5.3
2006,222.6,21.1,9.7,8.7,67.6,12.4,24.2,5.1
2007,219.3,20.7,9.5,8.9,65.4,12.6,24.2,5
2008,215.3,20.1,9.5,9.3,63.9,12.5,23,4.9
2009,211.2,19.5,9.5,9.6,61.7,12.4,22.1,4.7
2010,208.8,19.2,9.3,9.7,60.3,12.7,21.8,4.6
2011,204.3,18.5,9.3,10,58.1,12.5,20.8,4.4
2012,200.5,18,9.2,10.3,56.4,12.6,19.6,4.3
2013,196.2,17.8,9.1,10.5,54.1,12.4,19.2,4.3
2014,193.3,17.3,8.8,10.4,52.1,12.6,19.1,4.2